4suite: 1.0_beta2
855resolution: 0.4
a52dec: 0.7.4
aalib: 1.4_rc4
acl: 2.2.32
acpi: 0.09
acpid: 1.0.4
acx100: 20051013
acx100-firmware: 20050927
agg: 2.3
aiksaurus: 1.2.1
akode: 2.0
alsa-driver: 1.0.10
alsa-headers: 1.0.10
alsa-lib: 1.0.10
alsa-oss: 1.0.10
alsa-utils: 1.0.10
amarok: 1.3.7
ant: 1.6.5
apache: 2.0.55
apmd: 3.2.1_p4
apollon: 1.0.2.1
apr: 0.9.7
apr-util: 0.9.7
aquafont: 2.8
Archive-Tar: 1.26
Archive-Zip: 1.16
arts: 3.5.0
aspell: 0.50.5
aspell-en: 0.51-1
ati-drivers: 8.20.8
atk: 1.10.2
attr: 2.4.24
audiofile: 0.2.6
Authen-SASL: 2.04
autoconf2_13: 2.13
autoconf2_59: 2.59
autoconf-wrapper: 2
automake1_4: 1.4_p6
automake1_5: 1.5
automake1_6: 1.6.3
automake1_7: 1.7.9
automake1_8: 1.8.5
automake1_9: 1.9.4
automake-wrapper: 1
avifile: 0.7.43
baselayout: 0.4.1
bash: 3.0
bash-completion: 20040711
bash-completion-config: 0.8
bc: 1.06
bind-tools: 9.3.1
binutils: 2.16.1
bison: 1.875d
blackdown-jdk: 1.4.2.03
blackdown-jre: 1.4.2.03
blender: 2.37a
bluez-firmware: 1.1
bluez-libs: 2.22
bluez-utils: 2.22
boehm-gc: 6.6
bogofilter: 0.92.8
boost: 1.0
bzip2: 1.0.3
cabextract: 1.1
cairo: 1.0.2
callgrind: 0.10.1
ccache: 2.3
cdk: 4.9.10
cdparanoia: 3.9.8
cdrdao: 1.2.1
cdrtools: 2.01.01_alpha3
chktex: 1.6.3
comar: 1.0
Compress-Zlib: 1.41
Convert-ASN1: 0.17
coreutils: 5.93
cpio: 2.6
cpufreqd: 1.2.3
cracklib: 2.7
cramfs: 1.1
cryptsetup: 0.1
Crypt-SmbHash: 0.02
ctags: 5.5.4
cups: 1.1.23
curl: 7.15.1
curlpp: 0.5.0_rc5
cvs: 1.11.21
cyrus-sasl: 2.1.20
db1: 1.85
db4: 4.2.52_p4
DBD-mysql: 3.0002
DBI: 1.48
dbus: 0.50
ddcxinfos: 0.1
debianutils: 1.16.7
device-mapper: 1.01.05
dgs: 0.5.10
dhcpcd: 1.3.22_p4
dialog: 1.0-20051030
diffutils: 2.8.7
Digest-Base: 1.05
Digest-HMAC: 1.01
Digest-MD4: 1.3
Digest-MD5: 2.33
Digest-SHA1: 2.10
digikam: 0.8.0
digikamimageplugins: 0.8.0
DirectFB: 0.9.22
discover: 2.0.7
discover-data: 2.2005.02.13
disktype: 8
divx4linux: 20030428
dosfstools: 2.10
doxygen: 1.4.1
dragonegg: 0.1
dvd+rw-tools: 5.21.4.10.8
e2fsprogs: 1.38
ed: 0.2
egenix-mx-base: 2.0.5
eject: 2.1.0
elfutils: 0.94
emacs-cvs: 22.0.50
eric: 3.8.0
esound: 0.2.34
esvn: 0.6.11
ethereal: 0.10.13
ethtool: 3
expat: 1.95.8
faac: 1.24
faad2: 2.0
fam: 2.7.0
fbgrab: 1.0
fbset: 2.1
ffmpeg: 20051122
fftw2: 2.1.5
fftw3: 3.0.1
file: 4.12
findutils: 4.1.20
firefox: 1.5.0
flac: 1.1.2
flex: 2.5.4a
fltk: 1.1.6
fontconfig: 2.3.93
foomatic-db: 20051206
foomatic-db-engine: 3.0.2
foomatic-filters: 3.0.2
foomatic-filters-ppds: 20051206
freetype: 2.1.10
fribidi: 0.10.4
ftp: 0.17
gawk: 3.1.3
gcc: 3.4.5
gd: 2.0.32
gdb: 6.3
gdbm: 1.8.3
gettext: 0.14.5
ghostscript: 7.07.1
giflib: 4.1.4
gift: 0.11.8.1
gift-ares: 0.2.2
giftcurs: 0.6.2
gift-fasttrack: 0.8.9
gift-gnutella: 0.0.10.1
gift-openft: 0.2.1.6
gimp: 2.3.4
gle: 3.1.0
glib1: 1.2.10
glib2: 2.8.3
glibc: 2.3.5
glibmm: 2.6.1
glut: 3.7.1
gmp: 4.1.4
gnuchess: 5.07
gnuconfig: 20050324
gnu-gs-fonts-std: 8.11
gnupg: 1.4.1
gnuplot: 4.1_20051107
gpac: 0.4.0-rc2
gpg-agent: 1.9.9
gpgme: 1.0.2
gpm: 1.20.1
graphviz: 2.6
grep: 2.5.1
groff: 1.19.1
grounation-xcursors: 0.3
grub: 0.96
gst-plugins: 0.8.7
gstreamer: 0.8.8
gtk1: 1.2.10
gtk2: 2.8.7
gtkmm: 2.6.4
gtk-qt-engine: 20051206
gv: 3.6.1
gwenview: 1.3.0
gzip: 1.3.5
hal: 0.5.5.1
hashalot: 0.3
hcfpcimodem: 1.08
hdparm: 6.3
help2man: 1.33.1
hevea: 1.07
hotplug: 20040923
hsfmodem: 7.18.00.07
htdig: 3.1.6
htmldoc: 1.8.24
HTML-Parser: 3.48
icecream: 0.6-20050413
id3lib: 3.8.3
iksemel: 1.2
imagemagick: 6.2.5.4
imlib: 1.9.14
imlib2: 1.2.0
imposter: 0.3
indent: 2.2.9
initng: 2114
inkscape: 0.43
intltool: 0.31.2
IO-Socket-INET6: 2.51
IO-Socket-SSL: 0.96
IO-Zlib: 1.04
IP-Country: 2.20
ipodslave: 0.7
iproute2: 20051007
iptables: 1.3.3
iputils: 021109
ipw2100-firmware: 1.3
ipw2200-firmware: 2.4
ipython: 0.6.15
irda-utils: 0.9.16
irqbalance: 0.12
